ASV,9286.04,49,1
AGV,4035.76,89,1
ASV,3417.46,36,1
AUV,69.14,10,0
AFV,2062.13,61,1
AGV,6669.11,22,1
AFV,2526.12,37,0
AFV,1291.5,6,1
AUV,5754.33,45,1
AGV,8346.4,51,1
AUV,687.47,36,1
AFV,6996.24,85,1
ASV,9458.56,70,1
AUV,5324.51,39,1
AFV,736.62,27,1
ASV,2759.94,22,0
AGV,2299.51,17,0
AUV,3779.63,83,0
AFV,6496.48,28,0
AFV,1089.45,66,0
AUV,6597.59,26,0
AGV,5611.83,6,0
AUV,2847.33,45,0
ASV,3156.87,34,0
ASV,1251.49,63,1
AUV,3253.31,96,0
AGV,2956.05,76,1
AFV,1010.75,19,0
AFV,5219.43,75,0
AUV,9444.4,37,0
ASV,3842.22,6,0
AUV,2130.62,99,1
AUV,570.02,72,1
AUV,6414.62,7,1
AFV,5416.92,56,1
AFV,8675.55,33,0
ASV,3993.86,73,0
AGV,2398.26,22,1
AGV,1034.9,44,1
AUV,4197.94,69,0
AGV,5874.54,18,0
ASV,2288.36,91,0
AGV,5889.54,80,1
AFV,9995.33,24,0
AFV,1300.5,36,1
AFV,7384.06,15,1
AFV,7941.55,30,1
AFV,9773.99,17,1
AUV,9696.41,72,1
ASV,9690.29,38,1
ASV,3760.88,13,1
AGV,7099.77,32,1
AGV,5419.58,30,1
ASV,4413.33,70,0
AUV,5021.28,3,1
AUV,4797.25,34,1
AFV,8028.09,55,1
ASV,5239.91,68,0
ASV,2697.73,84,0
AUV,8068.54,43,1
AFV,9717.17,43,1
ASV,5503.49,44,0
AUV,8017.21,77,0
AUV,7177.47,4,0
AUV,702.15,58,0
ASV,2072.27,30,0
ASV,1471.72,34,1
AGV,3126.54,98,0
AGV,6529.39,32,0
AFV,8341.07,2,0
AGV,524.86,96,1
AUV,2171.83,10,0
AUV,1639.91,15,1
AUV,7373.6,18,1
AFV,9922.04,58,0
ASV,3598.76,89,0
AGV,2561.5,0,1
AUV,9663.03,40,0
AGV,6801.31,25,1
AGV,3514.13,46,0
AGV,9808.87,58,1
ASV,2706.85,96,1
AUV,2797.97,60,0
AFV,4146.03,87,1
AFV,4950.64,39,1
AFV,9929.64,34,0
AUV,8180.35,57,0
ASV,2623.93,14,1
ASV,6465.03,0,0
AGV,149.14,37,1
ASV,9195.67,88,1
ASV,4966.52,40,0
AUV,3252.61,28,1
ASV,4507.34,68,0
AUV,2178.2,89,1
AUV,916.9,59,1
AUV,6986.29,94,1
ASV,764.78,47,0
AUV,7341.01,23,0
AUV,7852.06,16,1
